,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
0,2022-08-16,,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,73,76,0,
1,2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0,137,0,1
2,2022-08-29,1,CloseFaster,MoreAll,User ID Display,,Campaign,2,0,0,63,0,1
3,2022-06-09,4,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,2,0,50,144,0,2
4,2022-08-03,1,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,89,0,1
5,2022-08-23,4,CloserTwins,MoreAll,User ID Display,,Campaign,3,0,0,69,0,2
6,2022-06-14,5,CloserTwins,Faceoff,Domain Display,,Campaign,2,0,0,139,0,2
7,2022-09-05,1,CloserTwins,MoreAll,User ID Display,,Campaign,2,0,0,56,0,1
8,2022-08-30,,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,62,0,
9,2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184,138,0,3
10,2022-05-05,,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105,179,0,
11,2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,184,0,2
12,2022-09-27,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,2,0,0,34,0,2
13,2022-10-13,4,CloserTwins,CloseMore,Domain Display,,Campaign,2,0,0,18,0,2
14,2022-05-31,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,4,0,1403,153,0,3
15,2022-09-09,1,CloserTwins,Faceoff,Domain Display,,Campaign,1,0,0,52,0,1
16,2022-05-03,,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,181,0,
17,2022-09-25,5,CloserTwins,Faceoff,Domain Display,,Campaign,8,0,0,36,0,2
18,2022-07-02,4,CloserTwins,CloseMore,Domain Display,,Campaign,3,0,0,121,0,2
19,2022-06-04,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,1,0,0,149,0,2
20,2022-07-23,4,CloserTwins,Competitors,Domain Display,,Campaign,3,0,0,100,0,2
21,2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,71,0,1
22,2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,136,0,1
23,2022-07-30,5,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,1,0,0,93,0,2
24,2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0,160,0,1
25,2022-06-30,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,8,0,7,123,0,2
26,2022-09-09,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,17,0,0,52,0,1
27,2022-07-03,5,CloserTwins,interactive,Domain Display,,Campaign,1,1,0,120,0,2
28,2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,37,111,0,2
29,2022-04-16,6,CloserTwins,OTT,OTT,Video,Campaign,1,0,0,198,0,3
30,2022-04-29,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,1,0,0,185,0,3
31,2022-05-31,4,CloserTwins,MoreAll,Domain Display,,Campaign,1,0,0,153,0,2
32,2022-05-20,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,4,0,50,164,0,3
33,2022-05-24,2,UnfairAdvantage,OnePage,Facebook,Single image,Campaign,1,0,0,160,0,1
34,2022-05-09,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0,175,0,2
35,2022-05-28,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,1,0,155,156,0,3
36,2022-07-24,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,99,0,1
37,2022-08-13,3,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,8,0,0,79,0,1
38,2022-06-11,1,CloserTwins,Cutdown,Facebook,Video,Campaign,1,0,0,142,0,1
39,2022-06-20,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12847,133,0,3
40,2022-09-17,5,CloserTwins,MoreAll,Domain Display,,Campaign,2,0,6,44,0,2
41,2022-09-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,56,0,1
42,2022-09-01,4,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,60,0,2
43,2022-09-21,4,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,4,0,0,40,0,2
44,2022-08-18,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0,74,0,2
45,2022-06-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,128,0,3
46,2022-05-03,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0,181,0,1
47,2022-07-13,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,3,0,0,110,0,2
48,2022-07-20,2,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,103,0,1
49,2022-07-21,5,CloseFaster,FasterAll,Domain Display,,Campaign,4,0,0,102,0,2
50,2022-08-08,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,84,0,2
51,2022-08-26,1,CloseFaster,FasterAll,User ID Display,,Campaign,6,0,0,66,0,1
52,2022-05-30,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0,154,0,1
53,2022-07-02,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,121,0,2
54,2022-05-26,6,Trade Media Ads,NaN,Trade Media,National_mortgage_news,Campaign,1,0,0,158,0,3
55,2022-08-15,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,77,0,2
56,2022-10-14,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0,17,0,2
57,2022-08-04,2,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,7,0,0,88,0,1
58,2022-07-10,2,CloserTwins,FasterAll,Domain Display,,Campaign,1,0,0,113,0,1
59,2022-07-30,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,93,0,2
60,2022-10-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,25,0,2
61,2022-05-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,159,0,2
62,2022-06-03,3,CloserTwins,Cutdown,Domain Display,Video,Campaign,2,0,0,150,0,1
63,2022-09-12,3,CloseFaster,MoreAll,User ID Display,,Campaign,13,0,0,49,0,1
64,2022-09-04,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,57,0,2
65,2022-08-02,1,CloserTwins,Cutdown,Domain Display,Video,Campaign,1,0,0,90,0,1
66,2022-09-23,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,7,0,0,38,0,2
67,2022-06-20,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,133,0,1
68,2022-10-04,4,UnfairAdvantage,OnePage,User ID Display,,Campaign,40,0,0,27,0,2
69,2022-05-17,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,167,0,2
70,2022-09-21,5,CloseFaster,FasterAll,Domain Display,,Campaign,1,0,129,40,0,2
