Date,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
16/8/2022,NA,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73
16/6/2022,3,1,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0
29/8/2022,1,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0
9/6/2022,4,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,50
3/8/2022,1,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0
23/8/2022,4,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0
14/6/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0
5/9/2022,1,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0
30/8/2022,NA,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0
15/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184
5/5/2022,NA,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105
30/4/2022,4,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0
27/9/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,2,0,0
13/10/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0
31/5/2022,6,3,others,ROS5,Trade Media,Housingwire,Campaign,4,0,1403
9/9/2022,1,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0
3/5/2022,NA,NA,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
25/9/2022,5,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0
2/7/2022,4,2,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0
4/6/2022,4,2,UnfairAdvantage,OnePage,Domain Display,NA,Campaign,1,0,0
23/7/2022,4,2,CloserTwins,Competitors,Domain Display,NA,Campaign,3,0,0
21/8/2022,1,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0
17/6/2022,2,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0
30/7/2022,5,2,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,1,0,0
24/5/2022,1,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0
30/6/2022,4,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7
9/9/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0
3/7/2022,5,2,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0
12/7/2022,5,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,37
16/4/2022,6,3,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0
29/4/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,1,0,0
31/5/2022,4,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0
20/5/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,4,0,50
24/5/2022,2,1,UnfairAdvantage,1page,Facebook,Single image,Campaign,1,0,0
9/5/2022,5,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0
28/5/2022,6,3,others,ROS1,Trade Media,Housingwire,Campaign,1,0,155
24/7/2022,1,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0
13/8/2022,3,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0
11/6/2022,1,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0
20/6/2022,6,3,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12847
17/9/2022,5,2,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,6
5/9/2022,1,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0
1/9/2022,4,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0
21/9/2022,4,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0
18/8/2022,4,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,0
25/6/2022,6,3,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0
3/5/2022,2,1,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0
