Date,Campaign,Audience,Target_Group,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,2,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),18,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
1/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,5,General traffic
2/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2,General traffic
2/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3,General traffic
3/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),14,General traffic
4/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,4,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,5,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),17,General traffic
5/4/2022,NA,NA,NA,NA,NA,NA,NA,Start Closing More,7,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Form Submission,3,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Get Approved,1,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Home Page Video Play,1,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),10,General traffic
6/4/2022,NA,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1,General traffic
